company_id,type,rule_id,text,confidence_pct
ICICIGI,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
ICICIGI,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
ICICIGI,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
ICICIGI,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,105
ICICIGI,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
ICICIGI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95
ICICIGI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ICICIGI,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,85
ICICIPRULI,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,88
ICICIPRULI,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
ICICIPRULI,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
ICICIPRULI,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
ICICIPRULI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95
ICICIPRULI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ICICIPRULI,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,85
INDIGO,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
INDIGO,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
INDIGO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,78
INDIGO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,105
INDIGO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95
INDIGO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
INDUSINDBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
INDUSINDBK,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
INDUSINDBK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
INDUSINDBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
INDUSINDBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
INFY,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
INFY,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
INFY,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
INFY,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76
INFY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,105
INFY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
IOC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
IOC,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
IOC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
IOC,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,85
IRCTC,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
IRCTC,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
IRCTC,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
IRCTC,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
IRCTC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,75
IRCTC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
IRCTC,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,85
IRFC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
IRFC,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
IRFC,con,C6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
IRFC,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
IRFC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95
IRFC,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,85
ITC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
ITC,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
ITC,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70
ITC,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
ITC,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,105
ITC,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
ITC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
ITC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
